Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,country,country codes
1,337,118,4,4.5,4.5,9.65,1,0.92,Great Britain,1
2,324,107,4,4.0,4.5,8.87,1,0.76,India,2
3,316,104,3,3.0,3.5,8.0,1,0.72,India,2
4,322,110,3,3.5,2.5,8.67,1,0.8,France,0
5,314,103,2,2.0,3.0,8.21,0,0.65,India,2
6,330,115,5,4.5,3.0,9.34,1,0.9,France,0
7,321,109,3,3.0,4.0,8.2,1,0.75,France,0
8,308,101,2,3.0,4.0,7.9,0,0.68,India,2
9,302,102,1,2.0,1.5,8.0,0,0.5,India,2
10,323,108,3,3.5,3.0,8.6,0,0.45,France,0
11,325,106,3,3.5,4.0,8.4,1,0.52,India,2
12,327,111,4,4.0,4.5,9.0,1,0.84,France,0
13,328,112,4,4.0,4.5,9.1,1,0.78,France,0
14,307,109,3,4.0,3.0,8.0,1,0.62,France,0
15,311,104,3,3.5,2.0,8.2,1,0.61,India,2
16,314,105,3,3.5,2.5,8.3,0,0.54,India,2
17,317,107,3,4.0,3.0,8.7,0,0.66,India,2
18,319,106,3,4.0,3.0,8.0,1,0.65,India,2
19,318,110,3,4.0,3.0,8.8,0,0.63,France,0
20,303,102,3,3.5,3.0,8.5,0,0.62,India,2
21,312,107,3,3.0,2.0,7.9,1,0.64,India,2
22,325,114,4,3.0,2.0,8.4,0,0.7,France,0
23,328,116,5,5.0,5.0,9.5,1,0.94,Great Britain,1
24,334,119,5,5.0,4.5,9.7,1,0.95,Great Britain,1
25,336,119,5,4.0,3.5,9.8,1,0.97,Great Britain,1
26,340,120,5,4.5,4.5,9.6,1,0.94,Great Britain,1
27,322,109,5,4.5,3.5,8.8,0,0.76,France,0
28,298,98,2,1.5,2.5,7.5,1,0.44,India,2
29,295,93,1,2.0,2.0,7.2,0,0.46,India,2
30,310,99,2,1.5,2.0,7.3,0,0.54,India,2
31,300,97,2,3.0,3.0,8.1,1,0.65,India,2
32,327,103,3,4.0,4.0,8.3,1,0.74,India,2
33,338,118,4,3.0,4.5,9.4,1,0.91,Great Britain,1
34,340,114,5,4.0,4.0,9.6,1,0.9,France,0
35,331,112,5,4.0,5.0,9.8,1,0.94,France,0
36,320,110,5,5.0,5.0,9.2,1,0.88,France,0
37,299,106,2,4.0,4.0,8.4,0,0.64,India,2
38,300,105,1,1.0,2.0,7.8,0,0.58,India,2
39,304,105,1,3.0,1.5,7.5,0,0.52,India,2
40,307,108,2,4.0,3.5,7.7,0,0.48,France,0
41,308,110,3,3.5,3.0,8.0,1,0.46,France,0
42,316,105,2,2.5,2.5,8.2,1,0.49,India,2
43,313,107,2,2.5,2.0,8.5,1,0.53,India,2
44,332,117,4,4.5,4.0,9.1,0,0.87,Great Britain,1
45,326,113,5,4.5,4.0,9.4,1,0.91,France,0
46,322,110,5,5.0,4.0,9.1,1,0.88,France,0
47,329,114,5,4.0,5.0,9.3,1,0.86,France,0
48,339,119,5,4.5,4.0,9.7,0,0.89,Great Britain,1
49,321,110,3,3.5,5.0,8.85,1,0.82,France,0
50,327,111,4,3.0,4.0,8.4,1,0.78,France,0
51,313,98,3,2.5,4.5,8.3,1,0.76,India,2
52,312,100,2,1.5,3.5,7.9,1,0.56,India,2
53,334,116,4,4.0,3.0,8.0,1,0.78,Great Britain,1
54,324,112,4,4.0,2.5,8.1,1,0.72,France,0
55,322,110,3,3.0,3.5,8.0,0,0.7,France,0
56,320,103,3,3.0,3.0,7.7,0,0.64,India,2
57,316,102,3,2.0,3.0,7.4,0,0.64,India,2
58,298,99,2,4.0,2.0,7.6,0,0.46,India,2
59,300,99,1,3.0,2.0,6.8,1,0.36,India,2
60,311,104,2,2.0,2.0,8.3,0,0.42,India,2
61,309,100,2,3.0,3.0,8.1,0,0.48,India,2
62,307,101,3,4.0,3.0,8.2,0,0.47,India,2
63,304,105,2,3.0,3.0,8.2,1,0.54,India,2
64,315,107,2,4.0,3.0,8.5,1,0.56,India,2
65,325,111,3,3.0,3.5,8.7,0,0.52,France,0
66,325,112,4,3.5,3.5,8.92,0,0.55,France,0
67,327,114,3,3.0,3.0,9.02,0,0.61,France,0
68,316,107,2,3.5,3.5,8.64,1,0.57,India,2
69,318,109,3,3.5,4.0,9.22,1,0.68,France,0
70,328,115,4,4.5,4.0,9.16,1,0.78,France,0
71,332,118,5,5.0,5.0,9.64,1,0.94,Great Britain,1
72,336,112,5,5.0,5.0,9.76,1,0.96,France,0
73,321,111,5,5.0,5.0,9.45,1,0.93,France,0
74,314,108,4,4.5,4.0,9.04,1,0.84,France,0
75,314,106,3,3.0,5.0,8.9,0,0.74,India,2
76,329,114,2,2.0,4.0,8.56,1,0.72,France,0
77,327,112,3,3.0,3.0,8.72,1,0.74,France,0
78,301,99,2,3.0,2.0,8.22,0,0.64,India,2
79,296,95,2,3.0,2.0,7.54,1,0.44,India,2
80,294,93,1,1.5,2.0,7.36,0,0.46,India,2
81,312,105,3,2.0,3.0,8.02,1,0.5,India,2
82,340,120,4,5.0,5.0,9.5,1,0.96,Great Britain,1
83,320,110,5,5.0,4.5,9.22,1,0.92,France,0
84,322,115,5,4.0,4.5,9.36,1,0.92,France,0
85,340,115,5,4.5,4.5,9.45,1,0.94,France,0
86,319,103,4,4.5,3.5,8.66,0,0.76,India,2
87,315,106,3,4.5,3.5,8.42,0,0.72,India,2
88,317,107,2,3.5,3.0,8.28,0,0.66,India,2
89,314,108,3,4.5,3.5,8.14,0,0.64,France,0
90,316,109,4,4.5,3.5,8.76,1,0.74,France,0
91,318,106,2,4.0,4.0,7.92,1,0.64,India,2
92,299,97,3,5.0,3.5,7.66,0,0.38,India,2
93,298,98,2,4.0,3.0,8.03,0,0.34,India,2
94,301,97,2,3.0,3.0,7.88,1,0.44,India,2
95,303,99,3,2.0,2.5,7.66,0,0.36,India,2
96,304,100,4,1.5,2.5,7.84,0,0.42,India,2
97,306,100,2,3.0,3.0,8.0,0,0.48,India,2
98,331,120,3,4.0,4.0,8.96,1,0.86,Great Britain,1
99,332,119,4,5.0,4.5,9.24,1,0.9,Great Britain,1
100,323,113,3,4.0,4.0,8.88,1,0.79,France,0
101,322,107,3,3.5,3.5,8.46,1,0.71,India,2
102,312,105,2,2.5,3.0,8.12,0,0.64,India,2
103,314,106,2,4.0,3.5,8.25,0,0.62,India,2
104,317,104,2,4.5,4.0,8.47,0,0.57,India,2
105,326,112,3,3.5,3.0,9.05,1,0.74,France,0
106,316,110,3,4.0,4.5,8.78,1,0.69,France,0
107,329,111,4,4.5,4.5,9.18,1,0.87,France,0
108,338,117,4,3.5,4.5,9.46,1,0.91,Great Britain,1
109,331,116,5,5.0,5.0,9.38,1,0.93,Great Britain,1
110,304,103,5,5.0,4.0,8.64,0,0.68,India,2
111,305,108,5,3.0,3.0,8.48,0,0.61,France,0
112,321,109,4,4.0,4.0,8.68,1,0.69,France,0
113,301,107,3,3.5,3.5,8.34,1,0.62,India,2
114,320,110,2,4.0,3.5,8.56,0,0.72,France,0
